n,ConditionsOfInterest,StandardValue1,StandardValue2,reps,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,power_Accuracy,power_Precision
10,2,5,8,60,-0.2,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0
12,2,5,8,60,-0.2,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0
14,2,5,8,60,-0.2,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0
16,2,5,8,60,-0.2,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0
18,2,5,8,60,-0.2,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0
20,2,5,8,60,-0.2,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0
10,2,5,8,60,-0.2,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.88
12,2,5,8,60,-0.2,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.97
14,2,5,8,60,-0.2,-0.25,0,0.108,0.1,0.1,0.1,1.0,1.0
16,2,5,8,60,-0.2,-0.25,0,0.108,0.1,0.1,0.1,1.0,1.0
18,2,5,8,60,-0.2,-0.25,0,0.108,0.1,0.1,0.1,1.0,1.0
20,2,5,8,60,-0.2,-0.25,0,0.108,0.1,0.1,0.1,1.0,1.0
10,2,5,8,60,-0.2,0.0,0,0.108,0.1,0.1,0.1,1.0,0.35
12,2,5,8,60,-0.2,0.0,0,0.108,0.1,0.1,0.1,1.0,0.42
14,2,5,8,60,-0.2,0.0,0,0.108,0.1,0.1,0.1,1.0,0.33
16,2,5,8,60,-0.2,0.0,0,0.108,0.1,0.1,0.1,1.0,0.41
18,2,5,8,60,-0.2,0.0,0,0.108,0.1,0.1,0.1,1.0,0.48
20,2,5,8,60,-0.2,0.0,0,0.108,0.1,0.1,0.1,1.0,0.49
10,2,5,8,60,-0.2,0.25,0,0.108,0.1,0.1,0.1,1.0,0.37
12,2,5,8,60,-0.2,0.25,0,0.108,0.1,0.1,0.1,1.0,0.26
14,2,5,8,60,-0.2,0.25,0,0.108,0.1,0.1,0.1,1.0,0.31
16,2,5,8,60,-0.2,0.25,0,0.108,0.1,0.1,0.1,1.0,0.36
18,2,5,8,60,-0.2,0.25,0,0.108,0.1,0.1,0.1,1.0,0.3
20,2,5,8,60,-0.2,0.25,0,0.108,0.1,0.1,0.1,1.0,0.33
10,2,5,8,60,-0.2,0.5,0,0.108,0.1,0.1,0.1,1.0,0.72
12,2,5,8,60,-0.2,0.5,0,0.108,0.1,0.1,0.1,1.0,0.77
14,2,5,8,60,-0.2,0.5,0,0.108,0.1,0.1,0.1,1.0,0.82
16,2,5,8,60,-0.2,0.5,0,0.108,0.1,0.1,0.1,1.0,0.88
18,2,5,8,60,-0.2,0.5,0,0.108,0.1,0.1,0.1,1.0,0.86
20,2,5,8,60,-0.2,0.5,0,0.108,0.1,0.1,0.1,1.0,0.85
10,2,5,8,60,0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.9
12,2,5,8,60,0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.91
14,2,5,8,60,0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.98
16,2,5,8,60,0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.96
18,2,5,8,60,0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.96
20,2,5,8,60,0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.97
10,2,5,8,60,0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.33
12,2,5,8,60,0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.34
14,2,5,8,60,0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.37
16,2,5,8,60,0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.35
18,2,5,8,60,0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.45
20,2,5,8,60,0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.44
10,2,5,8,60,0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.19
12,2,5,8,60,0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.21
14,2,5,8,60,0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.3
16,2,5,8,60,0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.3
18,2,5,8,60,0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.37
20,2,5,8,60,0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.31
10,2,5,8,60,0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.75
12,2,5,8,60,0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.72
14,2,5,8,60,0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.84
16,2,5,8,60,0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.84
18,2,5,8,60,0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.96
20,2,5,8,60,0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.95
10,2,5,8,60,0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,0.95
12,2,5,8,60,0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,1.0
14,2,5,8,60,0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,0.99
16,2,5,8,60,0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,1.0
18,2,5,8,60,0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,1.0
20,2,5,8,60,0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,1.0
10,2,5,8,60,0.0,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.97
12,2,5,8,60,0.0,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.99
14,2,5,8,60,0.0,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0
16,2,5,8,60,0.0,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0
18,2,5,8,60,0.0,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0
20,2,5,8,60,0.0,-0.5,0,0.108,0.1,0.1,0.1,1.0,1.0
10,2,5,8,60,0.0,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.54
12,2,5,8,60,0.0,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.53
14,2,5,8,60,0.0,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.55
16,2,5,8,60,0.0,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.62
18,2,5,8,60,0.0,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.76
20,2,5,8,60,0.0,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.74
10,2,5,8,60,0.0,0.0,0,0.108,0.1,0.1,0.1,1.0,0.03
12,2,5,8,60,0.0,0.0,0,0.108,0.1,0.1,0.1,1.0,0.06
14,2,5,8,60,0.0,0.0,0,0.108,0.1,0.1,0.1,1.0,0.06
16,2,5,8,60,0.0,0.0,0,0.108,0.1,0.1,0.1,1.0,0.06
18,2,5,8,60,0.0,0.0,0,0.108,0.1,0.1,0.1,1.0,0.04
20,2,5,8,60,0.0,0.0,0,0.108,0.1,0.1,0.1,1.0,0.06
10,2,5,8,60,0.0,0.25,0,0.108,0.1,0.1,0.1,1.0,0.39
12,2,5,8,60,0.0,0.25,0,0.108,0.1,0.1,0.1,1.0,0.45
14,2,5,8,60,0.0,0.25,0,0.108,0.1,0.1,0.1,1.0,0.57
16,2,5,8,60,0.0,0.25,0,0.108,0.1,0.1,0.1,1.0,0.5
18,2,5,8,60,0.0,0.25,0,0.108,0.1,0.1,0.1,1.0,0.48
20,2,5,8,60,0.0,0.25,0,0.108,0.1,0.1,0.1,1.0,0.52
10,2,5,8,60,0.0,0.5,0,0.108,0.1,0.1,0.1,1.0,0.82
12,2,5,8,60,0.0,0.5,0,0.108,0.1,0.1,0.1,1.0,0.91
14,2,5,8,60,0.0,0.5,0,0.108,0.1,0.1,0.1,1.0,0.94
16,2,5,8,60,0.0,0.5,0,0.108,0.1,0.1,0.1,1.0,0.92
18,2,5,8,60,0.0,0.5,0,0.108,0.1,0.1,0.1,1.0,0.96
20,2,5,8,60,0.0,0.5,0,0.108,0.1,0.1,0.1,1.0,0.98
10,2,5,8,60,0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.84
12,2,5,8,60,0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.94
14,2,5,8,60,0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.93
16,2,5,8,60,0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.95
18,2,5,8,60,0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.97
20,2,5,8,60,0.1,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.96
10,2,5,8,60,0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.32
12,2,5,8,60,0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.34
14,2,5,8,60,0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.35
16,2,5,8,60,0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.46
18,2,5,8,60,0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.41
20,2,5,8,60,0.1,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.39
10,2,5,8,60,0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.21
12,2,5,8,60,0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.22
14,2,5,8,60,0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.27
16,2,5,8,60,0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.25
18,2,5,8,60,0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.3
20,2,5,8,60,0.1,0.0,0,0.108,0.1,0.1,0.1,1.0,0.29
10,2,5,8,60,0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.66
12,2,5,8,60,0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.82
14,2,5,8,60,0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.89
16,2,5,8,60,0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.85
18,2,5,8,60,0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.9
20,2,5,8,60,0.1,0.25,0,0.108,0.1,0.1,0.1,1.0,0.95
10,2,5,8,60,0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,0.98
12,2,5,8,60,0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,0.99
14,2,5,8,60,0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,0.99
16,2,5,8,60,0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,1.0
18,2,5,8,60,0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,1.0
20,2,5,8,60,0.1,0.5,0,0.108,0.1,0.1,0.1,1.0,1.0
10,2,5,8,60,0.2,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.95
12,2,5,8,60,0.2,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.91
14,2,5,8,60,0.2,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.97
16,2,5,8,60,0.2,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.97
18,2,5,8,60,0.2,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.96
20,2,5,8,60,0.2,-0.5,0,0.108,0.1,0.1,0.1,1.0,0.98
10,2,5,8,60,0.2,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.4
12,2,5,8,60,0.2,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.45
14,2,5,8,60,0.2,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.46
16,2,5,8,60,0.2,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.49
18,2,5,8,60,0.2,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.5
20,2,5,8,60,0.2,-0.25,0,0.108,0.1,0.1,0.1,1.0,0.5
10,2,5,8,60,0.2,0.0,0,0.108,0.1,0.1,0.1,1.0,0.28
12,2,5,8,60,0.2,0.0,0,0.108,0.1,0.1,0.1,1.0,0.39
14,2,5,8,60,0.2,0.0,0,0.108,0.1,0.1,0.1,1.0,0.47
16,2,5,8,60,0.2,0.0,0,0.108,0.1,0.1,0.1,1.0,0.52
18,2,5,8,60,0.2,0.0,0,0.108,0.1,0.1,0.1,1.0,0.52
20,2,5,8,60,0.2,0.0,0,0.108,0.1,0.1,0.1,1.0,0.56
10,2,5,8,60,0.2,0.25,0,0.108,0.1,0.1,0.1,1.0,0.85
12,2,5,8,60,0.2,0.25,0,0.108,0.1,0.1,0.1,1.0,0.95
14,2,5,8,60,0.2,0.25,0,0.108,0.1,0.1,0.1,1.0,0.97
16,2,5,8,60,0.2,0.25,0,0.108,0.1,0.1,0.1,1.0,0.98
18,2,5,8,60,0.2,0.25,0,0.108,0.1,0.1,0.1,1.0,0.99
20,2,5,8,60,0.2,0.25,0,0.108,0.1,0.1,0.1,1.0,1.0
10,2,5,8,60,0.2,0.5,0,0.108,0.1,0.1,0.1,1.0,0.99
12,2,5,8,60,0.2,0.5,0,0.108,0.1,0.1,0.1,1.0,1.0
14,2,5,8,60,0.2,0.5,0,0.108,0.1,0.1,0.1,1.0,1.0
16,2,5,8,60,0.2,0.5,0,0.108,0.1,0.1,0.1,1.0,1.0
18,2,5,8,60,0.2,0.5,0,0.108,0.1,0.1,0.1,1.0,1.0
20,2,5,8,60,0.2,0.5,0,0.108,0.1,0.1,0.1,1.0,1.0
